section,date,entry_time,exit_time,symbol,side,setup,pnl_rr,exit_reason,bars_held,quality
bdr_short,2025-04-30,2025-04-30 10:15,2025-04-30 10:55,SQQQ,SHORT,BDR SHORT,+0.6520,time,8,4
bdr_short,2025-05-07,2025-05-07 10:20,2025-05-07 10:45,SQQQ,SHORT,BDR SHORT,-1.1805,stop,5,4
bdr_short,2025-05-13,2025-05-13 10:40,2025-05-13 10:55,ARM,SHORT,BDR SHORT,-1.2509,stop,3,1
bdr_short,2025-05-21,2025-05-21 10:30,2025-05-21 11:10,NKE,SHORT,BDR SHORT,-0.7281,time,8,3
bdr_short,2025-05-21,2025-05-21 10:40,2025-05-21 11:05,UDOW,SHORT,BDR SHORT,-1.1984,stop,5,1
bdr_short,2025-05-22,2025-05-22 10:50,2025-05-22 11:00,DKNG,SHORT,BDR SHORT,-1.2724,stop,2,3
bdr_short,2025-05-23,2025-05-23 10:50,2025-05-23 11:30,LCID,SHORT,BDR SHORT,-0.4040,time,8,3
bdr_short,2025-05-28,2025-05-28 10:35,2025-05-28 11:15,MARA,SHORT,BDR SHORT,+0.2602,time,8,1
bdr_short,2025-06-23,2025-06-23 10:55,2025-06-23 11:00,UDOW,SHORT,BDR SHORT,-1.2901,stop,1,2
bdr_short,2025-07-08,2025-07-08 10:50,2025-07-08 11:10,XYZ,SHORT,BDR SHORT,-1.1049,stop,4,2
bdr_short,2025-07-18,2025-07-18 10:10,2025-07-18 10:50,FNGU,SHORT,BDR SHORT,-0.4393,time,8,2
bdr_short,2025-07-18,2025-07-18 10:10,2025-07-18 10:50,TQQQ,SHORT,BDR SHORT,+0.4041,time,8,3
bdr_short,2025-07-24,2025-07-24 10:10,2025-07-24 10:45,AMD,SHORT,BDR SHORT,-1.0914,stop,7,3
bdr_short,2025-07-28,2025-07-28 10:50,2025-07-28 11:30,COIN,SHORT,BDR SHORT,-0.2053,time,8,3
bdr_short,2025-07-28,2025-07-28 10:50,2025-07-28 11:30,LABU,SHORT,BDR SHORT,+1.5564,time,8,3
bdr_short,2025-08-05,2025-08-05 10:10,2025-08-05 10:50,TQQQ,SHORT,BDR SHORT,+3.0058,time,8,3
bdr_short,2025-08-05,2025-08-05 10:35,2025-08-05 11:15,RBLX,SHORT,BDR SHORT,+1.2483,time,8,2
bdr_short,2025-08-05,2025-08-05 10:35,2025-08-05 11:15,SMCI,SHORT,BDR SHORT,+0.0377,time,8,4
bdr_short,2025-08-05,2025-08-05 10:45,2025-08-05 10:55,SOFI,SHORT,BDR SHORT,-1.1973,stop,2,1
bdr_short,2025-08-11,2025-08-11 10:20,2025-08-11 11:00,XOM,SHORT,BDR SHORT,+0.3012,time,8,2
bdr_short,2025-08-15,2025-08-15 10:15,2025-08-15 10:40,LABU,SHORT,BDR SHORT,-1.0801,stop,5,1
bdr_short,2025-08-15,2025-08-15 10:15,2025-08-15 10:35,XBI,SHORT,BDR SHORT,-1.2279,stop,4,2
bdr_short,2025-08-18,2025-08-18 10:25,2025-08-18 10:40,BA,SHORT,BDR SHORT,-1.1783,stop,3,2
bdr_short,2025-08-21,2025-08-21 10:45,2025-08-21 11:25,RGTI,SHORT,BDR SHORT,+0.2036,time,8,4
bdr_short,2025-08-21,2025-08-21 10:45,2025-08-21 11:25,RIVN,SHORT,BDR SHORT,-0.9198,time,8,4
bdr_short,2025-09-02,2025-09-02 10:20,2025-09-02 11:00,NVDA,SHORT,BDR SHORT,+0.5499,time,8,3
bdr_short,2025-09-05,2025-09-05 10:15,2025-09-05 10:55,BAC,SHORT,BDR SHORT,+1.4968,time,8,4
bdr_short,2025-09-05,2025-09-05 10:20,2025-09-05 11:00,CRSP,SHORT,BDR SHORT,-0.4071,time,8,1
bdr_short,2025-09-09,2025-09-09 10:30,2025-09-09 11:10,HOOD,SHORT,BDR SHORT,+0.3328,time,8,2
bdr_short,2025-09-26,2025-09-26 10:20,2025-09-26 11:00,UDOW,SHORT,BDR SHORT,+0.0600,time,8,4
bdr_short,2025-10-22,2025-10-22 10:40,2025-10-22 11:00,INTC,SHORT,BDR SHORT,-1.1006,stop,4,3
bdr_short,2025-10-29,2025-10-29 10:40,2025-10-29 10:55,GS,SHORT,BDR SHORT,-1.1925,stop,3,1
bdr_short,2025-11-03,2025-11-03 10:20,2025-11-03 11:00,ORCL,SHORT,BDR SHORT,+0.1986,time,8,4
bdr_short,2025-11-03,2025-11-03 10:25,2025-11-03 11:05,LULU,SHORT,BDR SHORT,-0.4594,time,8,4
bdr_short,2025-11-07,2025-11-07 10:35,2025-11-07 11:15,FNGU,SHORT,BDR SHORT,+0.4888,time,8,3
bdr_short,2025-11-12,2025-11-12 10:50,2025-11-12 11:30,PYPL,SHORT,BDR SHORT,-0.4803,time,8,2
bdr_short,2025-11-13,2025-11-13 10:30,2025-11-13 11:10,TNA,SHORT,BDR SHORT,+0.8686,time,8,3
bdr_short,2025-11-13,2025-11-13 10:40,2025-11-13 11:20,SMH,SHORT,BDR SHORT,+1.6499,time,8,1
bdr_short,2025-11-13,2025-11-13 10:40,2025-11-13 11:20,SOXL,SHORT,BDR SHORT,+1.6631,time,8,1
bdr_short,2025-11-13,2025-11-13 10:40,2025-11-13 11:20,SPXL,SHORT,BDR SHORT,+0.8475,time,8,2
bdr_short,2025-11-13,2025-11-13 10:40,2025-11-13 11:20,TQQQ,SHORT,BDR SHORT,+0.8341,time,8,1
bdr_short,2025-11-13,2025-11-13 10:40,2025-11-13 11:20,UPRO,SHORT,BDR SHORT,+0.9110,time,8,1
bdr_short,2025-11-13,2025-11-13 10:50,2025-11-13 11:30,COIN,SHORT,BDR SHORT,-0.1820,time,8,3
bdr_short,2025-11-17,2025-11-17 10:15,2025-11-17 10:55,SLB,SHORT,BDR SHORT,+0.1418,time,8,3
bdr_short,2025-11-21,2025-11-21 10:30,2025-11-21 11:10,AVGO,SHORT,BDR SHORT,-0.2895,time,8,4
bdr_short,2025-11-21,2025-11-21 10:30,2025-11-21 11:10,NU,SHORT,BDR SHORT,-0.4099,time,8,2
bdr_short,2025-12-01,2025-12-01 10:20,2025-12-01 11:00,GE,SHORT,BDR SHORT,+0.0880,time,8,2
bdr_short,2025-12-04,2025-12-04 10:20,2025-12-04 10:35,TSLL,SHORT,BDR SHORT,-1.1522,stop,3,2
