timestamp,symbol,date,hhmm,gap_abs_pct,abs_move_from_open_pct,abs_rs_vs_spy_pct,score_kind,active_score,active_passed,reason_flags,regime_spy_pct
2026-03-20 09:30:00,WMT,2026-03-20,930,0.3964,0.4892,0.4968,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,LUNR,2026-03-20,930,0.5283,1.6816,1.6892,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,RGTI,2026-03-20,930,1.9481,1.7881,1.7805,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,PLTR,2026-03-20,930,0.4624,0.2452,0.2528,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,COHR,2026-03-20,930,1.9519,1.5515,1.5439,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,BKR,2026-03-20,930,0.1812,0.0658,0.0734,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,CRWV,2026-03-20,930,0.6693,0.6863,0.6787,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,IONQ,2026-03-20,930,0.0313,2.2264,2.2188,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,SPXL,2026-03-20,930,0.7637,0.3536,0.3460,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,LULU,2026-03-20,930,0.3263,0.5213,0.5289,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,MS,2026-03-20,930,0.1766,0.0695,0.0771,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,LRCX,2026-03-20,930,0.0043,0.7651,0.7727,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,SLB,2026-03-20,930,0.5436,0.3327,0.3403,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,APA,2026-03-20,930,0.4202,0.2877,0.2800,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,COIN,2026-03-20,930,0.0000,0.2464,0.2388,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,VET,2026-03-20,930,1.4211,2.4262,2.4338,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,FNGU,2026-03-20,930,0.8174,2.3626,2.3550,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,AAPL,2026-03-20,930,0.5102,0.0969,0.0893,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,XBI,2026-03-20,930,0.4987,0.5423,0.5499,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,BAC,2026-03-20,930,0.2340,0.3821,0.3897,NONE,,False,NOT_READY_PROVISIONAL,-0.01
2026-03-20 09:30:00,RTX,2026-03-20,930,0.0199,0.2791,0.2867,NONE,,False,NOT_READY_PROVISIONAL,-0.01
